Base,Romanized,Yiddish,Gloss,Definition
shlog,arumgeshlogn,אַרומגעשלאָגן,UNK1,"line (inside)"
shlog,shlogndiker,שלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,avekgeshlogn,אַװעקגעשלאָגן,UNK1,"hit, beat; fight (with zikh); churn (with puter)"
shlog,opgeshlogene,אָפּגעשלאָגענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,oysshlogndiks,אױסשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"recoup expenses, strike (the hour), knock out"
shlog,tsunoyfshlogndike,צונױפֿשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,aropgeshlogns,אַראָפּגעשלאָגנס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,avekshlogndiks,אַװעקשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,aroyfgeshlogene,אַרױפֿגעשלאָגענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"nail up; affix"
shlog,arumshlogndiks,אַרומשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"line (inside)"
shlog,tsurikshlogndiker,צוריקשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,arayngeshlogener,אַרײַנגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,arumgeshlogenem,אַרומגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"line (inside)"
shlog,opshlogndiker,אָפּשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsurikgeshlogener,צוריקגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,avekgeshlogenem,אַװעקגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,opgeshlogns,אָפּגעשלאָגנס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsunoyfgeshlogn,צונױפֿגעשלאָגן,UNK1,"hit, beat; fight (with zikh); churn (with puter)"
shlog,opshlogndike,אָפּשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsurikshlogndiks,צוריקשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,untershlogndikn,אונטערשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"affix (lining to clothing; support to wood)"
